date_added,hq,name,sector,symbol
2019-02-27,Pittsburgh,Wabtec,Industrials,WAB
1982-08-31,"Bentonville, Arkansas",Walmart,Consumer Staples,WMT
1976-06-30,"Burbank, California",Walt Disney Company (The),Communication Services,DIS
2022-04-11,New York City,Warner Bros. Discovery,Communication Services,WBD
1998-08-31,Houston,Waste Management,Industrials,WM
2002-01-02,"Milford, Massachusetts",Waters Corporation,Health Care,WAT
2008-10-31,Milwaukee,WEC Energy Group,Utilities,WEC
1976-06-30,San Francisco,Wells Fargo,Financials,WFC
2009-01-30,"Toledo, Ohio",Welltower,Real Estate,WELL
2020-05-22,"Exton, Pennsylvania",West Pharmaceutical Services,Health Care,WST
2009-07-01,"San Jose, California",Western Digital,Information Technology,WDC
1979-10-01,Seattle,Weyerhaeuser,Real Estate,WY
2025-03-24,San Francisco,"Williams-Sonoma, Inc.",Consumer Discretionary,WSM
1975-03-31,"Tulsa, Oklahoma",Williams Companies,Energy,WMB
2016-01-05,London,Willis Towers Watson,Financials,WTW
2024-12-23,"Pleasanton, California","Workday, Inc.",Information Technology,WDAY
2008-11-14,"Paradise, Nevada",Wynn Resorts,Consumer Discretionary,WYNN
1957-03-04,Minneapolis,Xcel Energy,Utilities,XEL
2011-11-01,"White Plains, New York",Xylem Inc.,Industrials,XYL
1997-10-06,"Louisville, Kentucky",Yum! Brands,Consumer Discretionary,YUM
2019-12-23,"Lincolnshire, Illinois",Zebra Technologies,Information Technology,ZBRA
2001-08-07,"Warsaw, Indiana",Zimmer Biomet,Health Care,ZBH
2013-06-21,"Parsippany, New Jersey",Zoetis,Health Care,ZTS
